
ID   Time        V    E    D    GM   GS   S    PG 
9    REACTivos   8    2    8    34   38   -4   26 
8    RUSTicos    3    1    14   40   65   -25  10 
7    LOOPardos   6    3    9    38   53   -15  21 
6    NETunos     7    2    9    48   53   -5   23 
5    SeQueLas    7    3    8    48   49   -1   24 
4    PYthons     8    3    8    48   41   7    27 
3    GOrilas     7    1    11   41   51   -10  22 
2    SemCTRL     11   2    6    44   36   8    35 
1    ESCorpiões  11   2    6    57   40   17   35 
0    JAVAlis     13   3    2    58   30   28   42 
