ID   Time1             Time2         Placar1     Placar2
0    SeQueLas          LOOPardos     2           1 
1    REACTivos         ESCorpiões    2           5 
2    NETunos           JAVAlis       0           2 
3    LOOPardos         REACTivos     0           0 
4    JAVAlis           NETunos       5           5 
5    SeQueLas          RUSTicos      5           2 
6    JAVAlis           LOOPardos     4           0 
7    GOrilas           SeQueLas      4           2 
8    ESCorpiões        REACTivos     2           0 
9    SeQueLas          NETunos       5           5 
10   ESCorpiões        JAVAlis       0           1 
11   ESCorpiões        GOrilas       4           0 
12   SeQueLas          PYthons       3           2 
13   NETunos           LOOPardos     3           5 
14   JAVAlis           PYthons       1           1 
15   PYthons           JAVAlis       0           1 
16   LOOPardos         SemCTRL       2           5 
17   PYthons           RUSTicos      5           5 
18   NETunos           GOrilas       4           5 
19   SemCTRL           REACTivos     0           5 
20   NETunos           PYthons       2           1 
21   SemCTRL           LOOPardos     2           2 
22   SeQueLas          REACTivos     0           1 
23   GOrilas           SemCTRL       0           4 
24   GOrilas           NETunos       4           1 
25   REACTivos         NETunos       5           2 
26   SemCTRL           SeQueLas      0           0 
27   RUSTicos          SemCTRL       3           4 
28   RUSTicos          NETunos       2           4 
29   PYthons           ESCorpiões    0           3 
30   SemCTRL           JAVAlis       1           5 
31   NETunos           SeQueLas      5           3 
32   JAVAlis           SemCTRL       0           5 
33   SemCTRL           PYthons       1           2 
34   JAVAlis           SeQueLas      5           0 
35   RUSTicos          ESCorpiões    1           5 
36   ESCorpiões        LOOPardos     3           1 
37   REACTivos         RUSTicos      4           0 
38   PYthons           SeQueLas      1           2 
39   NETunos           SemCTRL       0           1 
40   GOrilas           ESCorpiões    0           3 
41   SemCTRL           NETunos       3           0 
42   REACTivos         PYthons       1           3 
43   NETunos           RUSTicos      3           1 
44   REACTivos         GOrilas       2           3 
45   REACTivos         SemCTRL       2           0 
46   SeQueLas          JAVAlis       4           5 
47   ESCorpiões        PYthons       4           1 
48   PYthons           REACTivos     5           0 
49   RUSTicos          JAVAlis       1           5 
50   SeQueLas          GOrilas       1           3 
51   GOrilas           RUSTicos      0           5 
52   ESCorpiões        SeQueLas      5           5 
53   GOrilas           JAVAlis       3           4 
54   REACTivos         LOOPardos     4           1 
55   NETunos           ESCorpiões    3           2 
56   GOrilas           LOOPardos     5           0 
57   LOOPardos         JAVAlis       1           5 
58   LOOPardos         GOrilas       4           3 
59   GOrilas           REACTivos     1           2 
60   LOOPardos         SeQueLas      2           1 
61   PYthons           LOOPardos     5           2 
62   REACTivos         SeQueLas      0           5 
63   ESCorpiões        RUSTicos      3           4 
64   JAVAlis           REACTivos     0           0 
65   RUSTicos          GOrilas       0           3 
66   RUSTicos          LOOPardos     0           5 
67   ESCorpiões        SemCTRL       1           4 
68   LOOPardos         RUSTicos      3           0 
69   JAVAlis           RUSTicos      4           3 
70   GOrilas           PYthons       2           5 
71   PYthons           GOrilas       5           2 
72   SeQueLas          ESCorpiões    1           4 
73   ESCorpiões        NETunos       5           4 
74   JAVAlis           GOrilas       2           1 
75   NETunos           REACTivos     2           1 
76   PYthons           NETunos       2           1 
77   RUSTicos          PYthons       3           4 
78   JAVAlis           ESCorpiões    5           0 
79   LOOPardos         PYthons       4           3 
80   LOOPardos         NETunos       1           4 
81   SemCTRL           GOrilas       2           1 
82   SeQueLas          SemCTRL       5           1 
83   SemCTRL           ESCorpiões    3           2 
84   SemCTRL           RUSTicos      4           2 
85   RUSTicos          SeQueLas      3           4 
86   LOOPardos         ESCorpiões    4           4 
87   REACTivos         JAVAlis       5           4 
88   PYthons           SemCTRL       2           3 
89   RUSTicos          REACTivos     5           0 
90   ESCorpiões        SemCTRL       2           1 
91   GOrilas           PYthons       1           1 
